Company,DateFrom,Dateto,u_GROUP,U_SUBGROUP,ITEMCODE,ITEMNAME,OpeningBalanceQty,OpeningBalanceAmt,PembelianQty,PembelianAmt,PenjualanQty,PenjualanAmt,InventoryTransferQty,InventoryTransferAmt,AdjustmentQty,AdjustmentAmt,SAPOpnameQty,SAPOpnameAmt,EndingBalanceQty,EndingBalanceAmt
mks,20251101,20251129,A-MEAT,,AAU2THR020,Aus Frz B Chuck Tender Ect,65.1,7845740.1348,0,0,-51.25,-6176561.9341,0,0,0,0,0,0,13.85,1669178.2007
mks,20251101,20251129,A-MEAT,01-BEEF,AAU1AMH003,Aus Chl A 2142 Striploin 1 Rib 3.6Kg Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU1JBS008,Aus S 2142 Striploin 1 Rib (AMH),0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2AAC016,Aus Frz A 2160 Tenderloin SS/Off Aged AACO,4.66,1071794.0352,0,0,0,0,0,0,0,0,0,0,4.66,1071794.0352
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2ACC001,Aus Frz Beef Heart ACC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2ACC002,Aus Frz Beef Lips (Acc),0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2ACC003,Aus Frz Beef Trimming 50 CL ACC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2ACC004,Aus Frz Beef Lungs (ACC),0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2AMG001,Aus Frz Beef Liver (Amg),0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2AMG003,Aus Frz Beef Lungs (AMG),0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2AMG004,AUS FRZ Lips AMG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2AMG005,Aus Frz Beef Spare Ribs AMG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2AMG008,AUS FRZ Neck Bones AMG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2AMG014,Aus Frz YP Striploin Angus Josdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2AMH001,Aus Frozen Oxtail (Amh),0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2AMH002,Aus Frz Brisket Yakiniku,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2AMH003,Aus Frz A 2160 Tenderloin SS/Off Aged,1.87,710600,0,0,0,0,0,0,0,0,0,0,1.87,710600
mks,20251101,20251129,A-MEAT,01-BEEF,AAU2AMH004,Aus Frz Head Meat (Amh),0,0,0,0,0,0,0,0,0,0,0,0,0,0
