NO,ITEM CODE,ITEM NAME,UOM,GROUP,GUD1,GUD2,GUD3,GUD4,GUD5,GUD6,GUD7,DRY,BUTCHER,KIMA3,INVENTORY
1,AAU1AAC023,Aus Chl Wag Tenderloin AA5,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
2,AAU1AAC031,Aus Chl Wag Striploin Mb 6,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
3,AAU1AMG001,Aus Chl YP 2091 Rump Cap,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
4,AAU1AMG002,Aus Chl 2142 Striploin 1 Rib,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
5,AAU1AMH003,Aus Chl A 2142 Striploin 1 Rib 3.6Kg Up,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
6,AAU1CVG001,Aus Chilled Ribeye Gf (Cvg),KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
7,AAU1DAR002,Aus Chl Wag GF Rib Eye Roll AA3,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
8,AAU1HRV015,Aus Chl A 2140 Striploin,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
9,AAU1HRV021,Aus Chl A 2070 Knuckle,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
10,AAU1HRV022,Aus Chl Bolar Blade IW Vac,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
11,AAU1HRV025,Aus Chl GF PR 2142 Striploin MSA Black Label,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
12,AAU1HRV029,Aus Chl YG Short Ribs B/In,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
13,AAU1JBS001,Aus Chl YP Pinnacle 2142 Striploin,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
14,AAU1JBS005,Aus Chl GF BA Riverina 2142 Striploin,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
15,AAU1JBS008,Aus S 2142 Striploin 1 Rib (AMH),KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
16,AAU1JBS009,Aus Chl S 2243 Ribeye,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
17,AAU1JBS011,Aus Chl A 2000 Topside,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
18,AAU1JBS011-1,Aus Chl A 2000 Topside,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
19,AAU1JBS018,Aus Chl Red Gum YP 2160 Tenderloin Hormone Free,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
20,AAU1JBS022,Aus Chl Red Gum YP 2140 Striploin Hormone Free,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
21,AAU1JBS023,Aus Chl Joshdale YP Ribeye,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
22,AAU1JCK021,Aus Chl Wag Karubi Plate Mb 6-7,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
23,AAU1JCK029,Aus Chl GF Angus 2142 Striploin Mb 2+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
24,AAU1JCK038,Aus Chl GF Angus 1601 OP Ribs Mb 2+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
25,AAU1JCK039,Aus Chl Wag Karubi Plate Mb 4-5,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
26,AAU1KIL001,Aus Chl GF Mul PRS 2142 Striploin,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
27,AAU1KOB012,Aus Chl Wag OP Rib Mb 4,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
28,AAU1MID005,Aus Chl B Tenderloin 1.8 - 3Kg,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
29,AAU1MID007,Aus Chl YG 2160 Tenderloin SS/Off,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
30,AAU1MID008,Aus Chilled 7 Rib Ribeye 3 Kg Up (Mid),KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
31,AAU1MUL013,Aus Chl BA Mul S 2160 Tenderloin SS/Off 2Kg Up,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
32,AAU1MUL015,Aus Chl BA S 2243 Ribeye 3Kg Up,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
33,AAU1MUL016,Aus Chl GF Mul PRS 2160 Tenderloin SS/Off,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
34,AAU1MUL024,Aus Chl GF Mul PRS 2243 Ribeye,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
35,AAU1MUL028,Aus Chl OP Rib,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
36,AAU1MUL032,Aus Chl BA Mul S 2142 Striploin IW Vac,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
37,AAU1NHF010,Aus Chl GF BA PRS 2160 Tenderloin SS/Off Mb 2Up,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
38,AAU1OAK007,Aus Chl GF Angus PRS 2243 Ribeye Mb 4+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
39,AAU1OAK009,Aus Chl GF Angus PR 1601 OP Rib Mb 4+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
40,AAU1OAK010,Aus Chl Wag Tenderloin Mb 6+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
41,AAU1OAK011,Aus Chl Wag PR Tenderloin Mb 8+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
42,AAU1OAK012,Aus Chl Wag Ribeye Mb 8+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
43,AAU1OCO002,Aus Chl B/Less S Short Rib Meat MW Vac,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
44,AAU1SEC007,Aus Chl Wag Brisket NE Mb 9+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
45,AAU1SEC011,Aus Chl Wag Eye Of Round Mb 4-5,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
46,AAU1SEC028,Aus Chl Wag Bolar Blade Mb 9+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
47,AAU1SEC034,Aus Chl Wag Chuck Tender Mb 4-5,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
48,AAU1SEC035,Aus Chl Wag Ribeye Cap Mb 9+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
49,AAU1SEC040,Aus Chl Wag Ribeye Mb 7-8,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
50,AAU1SEC048,Aus Chl Wag Inside Skirt Mb 6-7,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
51,AAU1SEC051,Aus Chl Wag PE Brisket,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
52,AAU1SEC058,Aus Chl Wag Knuckle Mb 9+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
53,AAU1SEC062,Aus Chl Wag Tenderloin Mb 2-3,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
54,AAU1SEC070,Aus Chl Wag Shin Shank Mb 9+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
55,AAU1SEC074,Aus Chl Wag Rump Mb 6-7,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
56,AAU1SEC075,Aus Chl Wag Striploin Mb 12+,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
57,AAU1SEC079,Aus Chl Wag Ribeye Mb 2-3,KG,MEAT,0,0,0,0,0,0,0,0,0,0,0
